name,julia_id
Rodrik-Sparr,610
Roger-Ryswell,611
Rolfe-the-Dwarf,612
Rollam-Westerling,613
Rolly-Duckfield,614
Rolph-Spicer,615
Ronnet-Connington,616
Roone,617
Roose-Bolton,618
Roose-Ryswell,619
Rorge,620
Rory,621
Rosey,622
Roslin-Frey,623
Rossart,624
Rowan,625
Rugen,626
Rus,627
Ryk,628
Ryman-Frey,629
Salladhor-Saan,630
Sallor,631
Samwell-Tarly,632
Sandor-Clegane,633
Sansa-Stark,634
Sarella-Sand,635
Satin,636
Sawane-Botley,637
Scar,638
Scolera,639
Selwyn-Tarth,640
Selyse-Florent,641
Senelle,642
Shadd,643
Shadrich,644
Shae,645
Shagga,646
Shagwell,647
Sharna,648
Shireen-Baratheon,649
Shitmouth,650
Shortear,651
Shrouded-Lord,652
Sigfryd-Harlaw,653
Sigorn,654
Simon-Toyne,655
Skahaz-mo-Kandaq,656
Skinner,657
Small-Paul,658
Smiling-Knight,659
Softfoot,660
Soren-Shieldbreaker,661
Sour-Alyn,662
Spare-Boot,663
Spotted-Cat,664
Squint,665
Squirrel,666
Stafford-Lannister,667
Stannis-Baratheon,668
Steelskin,669
Steffon-Baratheon,670
Steffon-Varner,671
Stevron-Frey,672
Stiv,673
Stonesnake,674
Stygg,675
Styr,676
Sweets,677
Sybelle-Glover,678
Sybell-Spicer,679
Sylva-Santagar,680
Symond-Templeton,681
Symon-Silver-Tongue,682
Symon-Stripeback,683
Syrio-Forel,684
Taena-of-Myr,685
Talbert-Serry,686
Talea,687
Tallad,688
Tanda-Stokeworth,689
Tansy,690
Tarber,691
Tattered-Prince,692
Ternesio-Terys,693
Terrance-Lynderly,694
Theobald,695
Theomore,696
Theon-Greyjoy,697
Thistle,698
Thoren-Smallwood,699
Thoros-of-Myr,700
Tickler,701
Timeon,702
Timett,703
Timoth,704
Tion-Frey,705
Tobho-Mott,706
Todder,707
Tomard,708
Tom-Barleycorn,709
Tommen-Baratheon,710
Tom-of-Sevenstreams,711
Torbert,712
Toregg,713
Torghen-Flint,714
Torgon-Greyiron,715
Tormund,716
Torrhen-Karstark,717
Torrhen-Stark,718
Torwold-Browntooth,719
Tregar,720
Tristifer-Botley,721
Tristifer-IV-Mudd,722
Trystane-Martell,723
Tybero-Istarion,724
Tycho-Nestoris,725
Tyene-Sand,726
Tyrion-Lannister,727
Tysha,728
Tytos-Blackwood,729
Tywin-Lannister,730
Ulf-son-of-Umar,731
Ulmer,732
Umma,733
Unella,734
Urswyck,735
Urzen,736
Utherydes-Wayn,737
Val,738
Varamyr,739
Vardis-Egen,740
Vargo-Hoat,741
Varly,742
Varys,743
Vayon-Poole,744
Victarion-Greyjoy,745
Visenya-Targaryen,746
Viserys-Targaryen,747
Vylarr,748
Vyman,749
Waif,750
Walda-Frey-(daughter-of-Merrett),751
Walder-Frey,752
Walder-Frey-(son-of-Jammos),753
Walder-Frey-(son-of-Merrett),754
Walder-Rivers,755
Walgrave,756
Walton,757
Watt,758
Waymar-Royce,759
Weasel,760
Weeper,761
Weese,762
Wendel-Manderly,763
Werlag,764
Wex-Pyke,765
Wick-Whittlestick,766
Widower,767
Will-(prologue),768
Willam-Dustin,769
Willas-Tyrell,770
Willem-Lannister,771
William-Foxglove,772
Willis-Wode,773
Willow-Heddle,774
Willow-Witch-eye,775
Woth,776
Wulfe,777
Wun-Weg-Wun-Dar-Wun,778
Wyl-(guard),779
Wylis-Manderly,780
Wylla,781
Wyman-Manderly,782
Wynton-Stout,783
Xaro-Xhoan-Daxos,784
Xhondo,785
Yandry,786
Yellow-Dick,787
Yezzan-zo-Qaggaz,788
Ygritte,789
Yohn-Royce,790
Yoren,791
Yorko-Terys,792
Ysilla,793
Yurkhaz-zo-Yunzak,794
Zei,795
Zollo,796
